Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Dec 26 2019,8:00p,San Antonio Spurs,98,Dallas Mavericks,102,Box Score,,20427,
Thu Dec 26 2019,8:00p,Memphis Grizzlies,110,Oklahoma City Thunder,97,Box Score,,18203,
Thu Dec 26 2019,10:00p,Minnesota Timberwolves,105,Sacramento Kings,104,Box Score,2OT,17583,
Thu Dec 26 2019,10:30p,Portland Trail Blazers,115,Utah Jazz,121,Box Score,,18306,
Fri Dec 27 2019,4:00p,Cleveland Cavaliers,117,Boston Celtics,129,Box Score,,19156,
Fri Dec 27 2019,7:00p,Oklahoma City Thunder,104,Charlotte Hornets,102,Box Score,OT,18418,
Fri Dec 27 2019,7:00p,Philadelphia 76ers,97,Orlando Magic,98,Box Score,,17311,
Fri Dec 27 2019,7:30p,Milwaukee Bucks,112,Atlanta Hawks,86,Box Score,,17358,
Fri Dec 27 2019,8:00p,Indiana Pacers,112,Miami Heat,113,Box Score,,19767,
Fri Dec 27 2019,10:30p,Phoenix Suns,96,Golden State Warriors,105,Box Score,,18064,
Sat Dec 28 2019,5:00p,Memphis Grizzlies,110,Denver Nuggets,119,Box Score,,19697,
Sat Dec 28 2019,7:00p,Toronto Raptors,113,Boston Celtics,97,Box Score,,19156,
Sat Dec 28 2019,7:00p,Indiana Pacers,98,New Orleans Pelicans,120,Box Score,,15391,
Sat Dec 28 2019,8:00p,Atlanta Hawks,81,Chicago Bulls,116,Box Score,,21496,
Sat Dec 28 2019,8:00p,Brooklyn Nets,98,Houston Rockets,108,Box Score,,18306,
Sat Dec 28 2019,8:00p,Philadelphia 76ers,116,Miami Heat,117,Box Score,OT,19865,
Sat Dec 28 2019,8:00p,Cleveland Cavaliers,94,Minnesota Timberwolves,88,Box Score,,15411,
Sat Dec 28 2019,8:00p,New York Knicks,107,Washington Wizards,100,Box Score,,19033,
Sat Dec 28 2019,8:30p,Dallas Mavericks,141,Golden State Warriors,121,Box Score,,18064,
Sat Dec 28 2019,8:30p,Orlando Magic,100,Milwaukee Bucks,111,Box Score,,17920,
Sat Dec 28 2019,8:30p,Detroit Pistons,109,San Antonio Spurs,136,Box Score,,18524,
