,home_team,away_team,home_team_id,away_team_id,home_points,away_points,regular_season,season
1931,Los Angeles Kings,Dallas Stars,26,8,4,6,1,1
1932,Carolina Hurricanes,Columbus Blue Jackets,10,25,5,3,1,1
1933,St Louis Blues,Boston Bruins,3,7,3,5,1,1
1934,Nashville Predators,Vancouver Canucks,20,0,2,1,1,1
1935,Buffalo Sabres,Philadelphia Flyers,17,22,4,1,1,1
1936,Chicago Blackhawks,Detroit Red Wings,21,27,4,3,1,1
1937,Edmonton Oilers,San Jose Sharks,1,6,3,5,1,1
1938,Anaheim Ducks,Dallas Stars,11,8,2,0,1,1
1939,Winnipeg Jets,Montreal Canadiens,28,9,4,7,1,1
1940,New York Islanders,Florida Panthers,23,15,1,2,1,1
1941,Washington Capitals,Pittsburgh Penguins,2,18,5,2,1,1
1942,Calgary Flames,San Jose Sharks,12,6,3,2,1,1
1943,Los Angeles Kings,St Louis Blues,26,3,5,1,1,1
1944,Nashville Predators,Boston Bruins,20,7,2,1,1,1
1945,Minnesota Wild,Montreal Canadiens,19,9,7,1,1,1
1946,Philadelphia Flyers,Vancouver Canucks,22,0,4,4,1,1
1947,Edmonton Oilers,New Jersey Devils,1,24,3,2,1,1
1948,Colorado Avalanche,Anaheim Ducks,13,11,1,4,1,1
1949,Ottawa Senators,Pittsburgh Penguins,4,18,4,1,1,1
1950,Dallas Stars,Detroit Red Wings,8,27,5,2,1,1
1951,Tampa Bay Lightning,Buffalo Sabres,16,17,4,2,1,1
1952,Washington Capitals,Chicago Blackhawks,2,21,6,0,1,1
1953,Tampa Bay Lightning,Columbus Blue Jackets,16,25,1,3,1,1
1954,Calgary Flames,New Jersey Devils,12,24,1,2,1,1
1955,Florida Panthers,New York Islanders,15,23,2,5,1,1
1956,Arizona Coyotes,Winnipeg Jets,29,28,4,3,1,1
1957,New York Rangers,Toronto Maple Leafs,14,5,2,4,1,1
1958,Carolina Hurricanes,Buffalo Sabres,10,17,5,2,1,1
1959,Florida Panthers,Columbus Blue Jackets,15,25,4,3,1,1
1960,San Jose Sharks,St Louis Blues,6,3,0,4,1,1
1961,Arizona Coyotes,Anaheim Ducks,29,11,0,3,1,1
1962,Edmonton Oilers,Calgary Flames,1,12,1,1,1,1
1963,Boston Bruins,Philadelphia Flyers,7,22,6,3,1,1
1964,Carolina Hurricanes,New York Islanders,10,23,7,4,1,1
1965,Los Angeles Kings,Winnipeg Jets,26,28,3,2,1,1
1966,Ottawa Senators,Toronto Maple Leafs,4,5,2,4,1,1
1967,Detroit Red Wings,Pittsburgh Penguins,27,18,6,3,1,1
1968,Colorado Avalanche,Nashville Predators,13,20,2,3,1,1
1969,Montreal Canadiens,New York Rangers,9,14,5,4,1,1
1970,Dallas Stars,Minnesota Wild,8,19,4,5,1,1
1971,Anaheim Ducks,St Louis Blues,11,3,1,2,1,1
1972,Vancouver Canucks,New Jersey Devils,0,24,1,2,1,1
1973,Washington Capitals,Philadelphia Flyers,2,22,5,0,1,1
1974,Chicago Blackhawks,Minnesota Wild,21,19,2,3,1,1
1975,Detroit Red Wings,Montreal Canadiens,27,9,1,0,1,1
1976,Pittsburgh Penguins,Washington Capitals,18,2,8,7,1,1
1977,Edmonton Oilers,Arizona Coyotes,1,29,3,1,1,1
1978,Boston Bruins,New York Islanders,7,23,0,4,1,1
1979,San Jose Sharks,Winnipeg Jets,6,28,5,2,1,1
1980,Los Angeles Kings,Tampa Bay Lightning,26,16,1,2,1,1
1981,Buffalo Sabres,Dallas Stars,17,8,4,1,1,1
1982,Colorado Avalanche,Chicago Blackhawks,13,21,4,6,1,1
1983,Minnesota Wild,New Jersey Devils,19,24,3,4,1,1
1984,Columbus Blue Jackets,Carolina Hurricanes,25,10,4,1,1,1
1985,Anaheim Ducks,Tampa Bay Lightning,11,16,2,1,1,1
1986,Calgary Flames,Florida Panthers,12,15,5,2,1,1
1987,Vancouver Canucks,Nashville Predators,0,20,1,0,1,1
1988,Toronto Maple Leafs,Buffalo Sabres,5,17,4,3,1,1
1989,St Louis Blues,Ottawa Senators,3,4,4,6,1,1
1990,New York Rangers,Dallas Stars,14,8,6,7,1,1
1991,Detroit Red Wings,Boston Bruins,27,7,5,5,1,1
1992,Winnipeg Jets,Arizona Coyotes,28,29,6,3,1,1
