,date,away_team,away_team_id,away_points,home_team,home_team_id,home_points,regular_season,season
267,2015-12-02 19:00:00,Golden State Warriors,15,116,Charlotte Hornets,2,99,1,0
268,2015-12-02 19:00:00,Los Angeles Lakers,21,108,Washington Wizards,28,104,1,0
269,2015-12-02 19:30:00,Phoenix Suns,12,122,Detroit Pistons,13,127,1,0
270,2015-12-02 19:30:00,Philadelphia 76ers,7,87,New York Knicks,24,99,1,0
271,2015-12-02 20:00:00,Toronto Raptors,0,96,Atlanta Hawks,23,86,1,0
272,2015-12-02 20:00:00,Denver Nuggets,19,90,Chicago Bulls,25,99,1,0
273,2015-12-02 20:00:00,New Orleans Pelicans,17,101,Houston Rockets,14,108,1,0
274,2015-12-02 20:30:00,Milwaukee Bucks,22,70,San Antonio Spurs,9,95,1,0
275,2015-12-02 22:30:00,Indiana Pacers,3,103,Los Angeles Clippers,1,91,1,0
276,2015-12-03 19:00:00,Oklahoma City Thunder,18,95,Miami Heat,6,97,1,0
277,2015-12-03 19:30:00,Denver Nuggets,19,106,Toronto Raptors,0,105,1,0
278,2015-12-03 21:00:00,Orlando Magic,4,103,Utah Jazz,10,94,1,0
279,2015-12-03 21:30:00,San Antonio Spurs,9,103,Memphis Grizzlies,16,83,1,0
280,2015-12-03 22:00:00,Indiana Pacers,3,111,Portland Trail Blazers,11,123,1,0
281,2015-12-03 22:00:00,Boston Celtics,29,114,Sacramento Kings,20,97,1,0
282,2015-12-04 19:00:00,Brooklyn Nets,5,91,New York Knicks,24,108,1,0
283,2015-12-04 19:00:00,Phoenix Suns,12,106,Washington Wizards,28,109,1,0
284,2015-12-04 19:30:00,Milwaukee Bucks,22,95,Detroit Pistons,13,102,1,0
285,2015-12-04 20:00:00,Los Angeles Lakers,21,87,Atlanta Hawks,23,100,1,0
286,2015-12-04 20:30:00,Houston Rockets,14,100,Dallas Mavericks,8,96,1,0
287,2015-12-04 21:30:00,Cleveland Cavaliers,26,108,New Orleans Pelicans,17,114,1,0
288,2015-12-05 13:00:00,Denver Nuggets,19,108,Philadelphia 76ers,7,105,1,0
289,2015-12-05 17:00:00,Golden State Warriors,15,112,Toronto Raptors,0,109,1,0
290,2015-12-05 20:00:00,Charlotte Hornets,2,102,Chicago Bulls,25,96,1,0
291,2015-12-05 20:00:00,Sacramento Kings,20,113,Houston Rockets,14,120,1,0
292,2015-12-05 20:00:00,Cleveland Cavaliers,26,84,Miami Heat,6,99,1,0
293,2015-12-05 20:00:00,Portland Trail Blazers,11,109,Minnesota Timberwolves,27,103,1,0
294,2015-12-05 20:30:00,New York Knicks,24,91,Milwaukee Bucks,22,106,1,0
295,2015-12-05 20:30:00,Boston Celtics,29,105,San Antonio Spurs,9,108,1,0
296,2015-12-05 21:00:00,Indiana Pacers,3,119,Utah Jazz,10,122,1,0
297,2015-12-05 22:30:00,Orlando Magic,4,101,Los Angeles Clippers,1,103,1,0
